category,source,question,answer,explanation
소송요건과 소의 이익,검수형 안정문항,확인의 소는 확인의 이익이 있어야 적법하다.,O,확인의 소에서는 현재의 권리 또는 법률관계에 대한 불안·위험이 존재하고 확인판결이 유효적절한 수단이어야 한다.
소송요건과 소의 이익,검수형 안정문항,소의 이익이 흠결된 경우 법원은 청구기각판결을 하여야 한다.,X,소의 이익은 소송요건이므로 흠결 시 각하판결을 한다.
소송요건과 소의 이익,검수형 안정문항,중복제소 금지는 동일 사건이 계속 중인 경우 적용된다.,O,동일 당사자·동일 청구에 관하여 사건이 계속 중이면 후소는 부적법하다.
소송요건과 소의 이익,검수형 안정문항,소송요건은 원칙적으로 법원이 직권조사한다.,O,소송요건은 본안판단 전 직권조사 사항이다.
소송요건과 소의 이익,검수형 안정문항,당사자능력이 없는 자가 제기한 소는 부적법하다.,O,당사자능력은 소송요건이다.
소송요건과 소의 이익,검수형 안정문항,확인의 소에서는 이행의 소보다 항상 확인의 이익이 우선 인정된다.,X,이행의 소를 제기할 수 있는 경우에는 확인의 이익이 부정되는 경우가 많다.
소송요건과 소의 이익,검수형 안정문항,민사소송에서도 신의성실의 원칙이 적용된다.,O,민사소송법상 신의칙은 소송관계 전반에 적용된다.
소송요건과 소의 이익,검수형 안정문항,소송능력은 소송행위를 유효하게 할 수 있는 능력이다.,O,민법상 행위능력을 기준으로 한다.
소송요건과 소의 이익,검수형 안정문항,소송요건의 조사에 당사자의 주장이 반드시 필요한 것은 아니다.,O,직권조사사항이므로 법원이 스스로 조사 가능하다.
소송요건과 소의 이익,검수형 안정문항,재판장은 원활한 심리를 위하여 변론지휘권을 가진다.,O,재판장은 심리의 집중과 원활한 진행을 위해 변론을 지휘한다.

관할과 이송,검수형 안정문항,합의관할은 서면으로 정하여야 한다.,O,민사소송법상 합의관할은 서면에 의해야 한다.
관할과 이송,검수형 안정문항,전속관할은 당사자의 합의로 변경할 수 있다.,X,전속관할은 공익적 성격이 있어 합의 변경이 허용되지 않는다.
관할과 이송,검수형 안정문항,피고가 관할위반을 다투지 않고 본안변론을 하면 변론관할이 발생할 수 있다.,O,응소관할 또는 변론관할이 인정될 수 있다.
관할과 이송,검수형 안정문항,관할위반이 인정되면 법원은 결정으로 사건을 이송한다.,O,관할 없는 법원은 관할법원으로 이송한다.
관할과 이송,검수형 안정문항,이송결정에 대해서는 즉시항고가 가능하다.,O,민사소송법상 즉시항고 대상이다.
관할과 이송,검수형 안정문항,사물관할은 당사자의 임의 합의만으로 자유롭게 변경할 수 있다.,X,사물관할은 법률에 의하여 정해진다.
관할과 이송,검수형 안정문항,보통재판적은 원칙적으로 피고의 주소에 의한다.,O,민사소송의 일반 관할 기준이다.
관할과 이송,검수형 안정문항,관할권 유무는 법원이 직권으로 조사할 수 있다.,O,관할은 소송요건 사항이다.
관할과 이송,검수형 안정문항,전속관할 위반 판결은 확정되어도 언제나 무효이다.,X,전속관할 위반이라 하더라도 당연무효는 아니다.
관할과 이송,검수형 안정문항,국제재판관할은 민사소송법과 국제재판관할 일반원칙에 따라 판단한다.,O,국제재판관할에 관한 규정과 판례법리가 적용된다.

당사자와 소송행위,검수형 안정문항,법정대리인은 본인을 위하여 소송행위를 할 수 있다.,O,소송능력이 없는 자를 대신하여 소송행위를 한다.
당사자와 소송행위,검수형 안정문항,소송대리인의 상소제기에는 특별수권이 필요하다.,O,상소는 특별수권 사항이다.
당사자와 소송행위,검수형 안정문항,재판상 자백은 상대방의 증명을 불필요하게 한다.,O,자백한 사실은 증거조사가 필요 없다.
당사자와 소송행위,검수형 안정문항,재판상 자백은 원칙적으로 임의로 철회할 수 없다.,O,상대방 동의 또는 착오 등 특별사정이 필요하다.
당사자와 소송행위,검수형 안정문항,변론주의 아래에서는 당사자가 주장하지 않은 주요사실을 법원이 판단기초로 삼을 수 없다.,O,주요사실은 당사자의 주장에 의하여야 한다.
당사자와 소송행위,검수형 안정문항,소송상 화해는 확정판결과 동일한 효력을 가진다.,O,기판력이 인정된다.
당사자와 소송행위,검수형 안정문항,소송행위는 신의칙에 반하더라도 언제나 유효하다.,X,권리남용적 소송행위는 제한될 수 있다.
당사자와 소송행위,검수형 안정문항,소송행위는 법률이 정한 방식과 절차를 따라야 한다.,O,방식 위반 시 부적법해질 수 있다.
당사자와 소송행위,검수형 안정문항,당사자적격은 원고의 주장 자체를 기준으로 판단하는 것이 원칙이다.,O,본안판단 전 단계에서는 원고 주장 기준으로 판단한다.
당사자와 소송행위,검수형 안정문항,변호사 아닌 자는 어떠한 민사소송에서도 대리인이 될 수 없다.,X,단독사건 등에서는 예외적으로 허용되는 경우가 있다.

증거와 판결,검수형 안정문항,민사소송에서는 자유심증주의가 적용된다.,O,증거의 증명력은 법관의 자유로운 판단에 맡겨진다.
증거와 판결,검수형 안정문항,문서제출명령을 정당한 이유 없이 거부하면 불이익한 판단이 가능하다.,O,상대방 주장 진실 인정 등의 효과가 문제될 수 있다.
증거와 판결,검수형 안정문항,증명책임은 법률효과를 주장하는 자가 부담하는 것이 원칙이다.,O,법률요건분류설에 따른 일반 원칙이다.
증거와 판결,검수형 안정문항,판결은 선고에 의해 효력이 발생한다.,O,판결 효력은 선고 시 발생한다.
증거와 판결,검수형 안정문항,기판력은 원칙적으로 판결 주문에 포함된 판단에 발생한다.,O,주문 판단이 기판력의 객관적 범위가 된다.
증거와 판결,검수형 안정문항,확정판결의 기판력은 원칙적으로 당사자와 그 승계인에게 미친다.,O,제3자 일반에게 미치는 것은 아니다.
증거와 판결,검수형 안정문항,가집행선고는 판결 확정 전 강제집행을 가능하게 한다.,O,확정 전 집행력을 부여한다.
증거와 판결,검수형 안정문항,항소기간은 판결서 송달일부터 2주이다.,O,민사소송법상 항소 제기기간이다.
증거와 판결,검수형 안정문항,상고심은 원칙적으로 법률심이다.,O,사실인정보다는 법령위반 여부를 심사한다.
증거와 판결,검수형 안정문항,재심은 확정판결에 중대한 하자가 있는 경우 인정될 수 있다.,O,법정 재심사유가 있어야 가능하다.